wavelength,absorbance,bonds,,,absorbance,
962.47692,0.002576,aliphatic C-H,,,0.005076,0.002576
964.405731,0.002664,aliphatic C-H,,,0.005164,0.002664
966.334543,0.002543,aliphatic C-H,,,0.005043,0.002543
968.263354,0.002304,aliphatic C-H,,,0.004804,0.002304
970.192166,0.002018,aliphatic C-H,,,0.004518,0.002018
972.120977,0.00179,aliphatic C-H,,,0.00429,0.00179
974.049789,0.001765,aliphatic C-H,,,0.004265,0.001765
975.9786,0.00191,aliphatic C-H,,,0.00441,0.00191
977.907411,0.002055,aliphatic C-H,,,0.004555,0.002055
979.836223,0.002104,aliphatic C-H,,,0.004604,0.002104
981.765034,0.002032,aliphatic C-H,,,0.004532,0.002032
983.693846,0.001876,aliphatic C-H,,,0.004376,0.001876
985.622657,0.00169,aliphatic C-H,,,0.00419,0.00169
987.551469,0.001518,aliphatic C-H,,,0.004018,0.001518
989.48028,0.001412,aliphatic C-H,,,0.003912,0.001412
991.409092,0.001332,aliphatic C-H,,,0.003832,0.001332
993.337903,0.001259,aliphatic C-H,,,0.003759,0.001259
995.266715,0.00127,aliphatic C-H,,,0.00377,0.00127
997.195526,0.001379,aliphatic C-H,,,0.003879,0.001379
999.124338,0.00167,aliphatic C-H,,,0.00417,0.00167
1001.053149,0.002135,aliphatic C-H,,,0.004635,0.002135
1002.98196,0.002414,aliphatic C-H,,,0.004914,0.002414
1004.910772,0.002339,aliphatic C-H,,,0.004839,0.002339
1006.839583,0.00215,aliphatic C-H,,,0.00465,0.00215
1008.768395,0.002057,aliphatic C-H,,,0.004557,0.002057
1010.697206,0.002124,aliphatic C-H,,,0.004624,0.002124
1012.626018,0.002312,aliphatic C-H,,,0.004812,0.002312
1014.554829,0.002567,aliphatic C-H,,,0.005067,0.002567
1016.483641,0.002921,aliphatic C-H,,,0.005421,0.002921
1018.412452,0.003387,aliphatic C-H,,,0.005887,0.003387
1020.341264,0.003964,aliphatic C-H,,,0.006464,0.003964
1022.270075,0.004773,aliphatic C-H,,,0.007273,0.004773
1024.198887,0.006057,aliphatic C-H,,,0.008557,0.006057
1026.127698,0.007603,aliphatic C-H,,,0.010103,0.007603
1028.056509,0.008482,aliphatic C-H,,,0.010982,0.008482
1029.985321,0.008084,aliphatic C-H,,,0.010584,0.008084
1031.914132,0.006608,aliphatic C-H,,,0.009108,0.006608
1033.842944,0.004661,aliphatic C-H,,,0.007161,0.004661
1035.771755,0.003014,aliphatic C-H,,,0.005514,0.003014
1037.700567,0.002052,aliphatic C-H,,,0.004552,0.002052
1039.629378,0.001595,aliphatic C-H,,,0.004095,0.001595
1041.55819,0.001417,aliphatic C-H,,,0.003917,0.001417
1043.487001,0.001383,aliphatic C-H,,,0.003883,0.001383
1045.415813,0.001377,aliphatic C-H,,,0.003877,0.001377
1047.344624,0.001391,aliphatic C-H,,,0.003891,0.001391
1049.273436,0.001468,aliphatic C-H,,,0.003968,0.001468
1051.202247,0.001576,aliphatic C-H,,,0.004076,0.001576
1053.131058,0.001669,aliphatic C-H,,,0.004169,0.001669
