wavelength,absorbance,bonds,,,,,,,
1278.802,0.087243,C-O,,,,,,,
1280.730811,0.085909,C-O,,,,,,,
1282.659622,0.084119,C-O,,,,,,,
1284.588434,0.081482,C-O,,,,,,,
1286.517245,0.077919,C-O,,,,,,,
1288.446057,0.073425,C-O,,,,,,,
1290.374868,0.068066,C-O,,,,,,,
1292.30368,0.062048,C-O,,,,,,,
1294.232491,0.055587,C-O,,,,,,,
1296.161303,0.048948,C-O,,,,,,,
1298.090114,0.042531,C-O,,,,,,,
1300.018926,0.036837,C-O,,,,,,,
1301.947737,0.032376,C-O,,,,,,,
1303.876549,0.029207,C-O,,,,,,,
1305.80536,0.026653,C-O,,,,,,,
1307.734172,0.02415,C-O,,,,,,,
1309.662983,0.021746,C-O,,,,,,,
1311.591794,0.019546,C-O,,,,,,,
1313.520606,0.0176,C-O,,,,,,,
1315.449417,0.015943,C-O,,,,,,,
1317.378229,0.014449,C-O,,,,,,,
1319.30704,0.013004,C-O,,,,,,,
1321.235852,0.011603,C-O,,,,,,,
1323.164663,0.010264,C-O,,,,,,,
1325.093475,0.009087,C-O,,,,,,,
1327.022286,0.00816,C-O,,,,,,,
1328.951098,0.00757,C-O,,,,,,,
1330.879909,0.007486,C-H,,,,,,,
1332.808721,0.007956,C-H,,,,,,,
1334.737532,0.008968,C-H,,,,,,,
1336.666343,0.010348,C-H,,,,,,,
1338.595155,0.011414,C-H,,,,,,,
1340.523966,0.011584,C-H,,,,,,,
1342.452778,0.010841,C-H,,,,,,,
1344.381589,0.009522,C-H,,,,,,,
1346.310401,0.00813,C-H,,,,,,,
1348.239212,0.006926,C-H,,,,,,,
1350.168024,0.005975,C-H,,,,,,,
1352.096835,0.005359,C-H,,,,,,,
1354.025647,0.005007,C-H,,,,,,,
1355.954458,0.004858,C-H,,,,,,,
1357.88327,0.004961,C-H,,,,,,,
1359.812081,0.005389,C-H,,,,,,,
1361.740892,0.006314,C-H,,,,,,,
1363.669704,0.007891,C-H,,,,,,,
1365.598515,0.009952,C-H,,,,,,,
1367.527327,0.011974,C-H,,,,,,,
1369.456138,0.0133,C-H,,,,,,,
1371.38495,0.013594,C-H,,,,,,,
1373.313761,0.013041,C-H,,,,,,,
1375.242573,0.011974,C-H,,,,,,,
1377.171384,0.01069,C-H,,,,,,,
1379.100196,0.009451,C-H,,,,,,,
1381.029007,0.008401,C-H,,,,,,,
1382.957819,0.007608,C-H,,,,,,,
1384.88663,0.007151,C-H,,,,,,,
1386.815441,0.007053,C-H,,,,,,,
1388.744253,0.007251,C-H,,,,,,,
1390.673064,0.007687,C-H,,,,,,,
1392.601876,0.008333,C-H,,,,,,,
1394.530687,0.009156,C-H,,,,,,,
1396.459499,0.010167,C-H,,,,,,,
1398.38831,0.0115,C-H,,,,,,,
1400.317122,0.013359,C-H,,,,,,,
1402.245933,0.015992,C-H,,,,,,,
1404.174745,0.019901,C-H,,,,,,,
